"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU_2576","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_2577","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_2578","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_2579","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_2580","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SM23-30","Unclassified_SM23-30","Unclassified_SM23-30"
"OTU_2581","Bacteria","Actinobacteriota","Coriobacteriia","FS118-23B-02","Unclassified_FS118-23B-02","Unclassified_FS118-23B-02","Unclassified_FS118-23B-02"
"OTU_2582","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Unclassified_Pirellulaceae","Unclassified_Pirellulaceae"
"OTU_2583","Bacteria","Myxococcota","Polyangia","Nannocystales","Unclassified_Nannocystales","Unclassified_Nannocystales","Unclassified_Nannocystales"
"OTU_2584","Bacteria","Gemmatimonadota","BD2-11 terrestrial group","Unclassified_BD2-11 terrestrial group","Unclassified_BD2-11 terrestrial group","Unclassified_BD2-11 terrestrial group","Unclassified_BD2-11 terrestrial group"
"OTU_2585","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","SBYC","Unclassified_SBYC","Unclassified_SBYC"
"OTU_2586","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5 marine group","Unclassified_NS5 marine group"
"OTU_2587","Bacteria","Chloroflexi","Dehalococcoidia","FW22","Unclassified_FW22","Unclassified_FW22","Unclassified_FW22"
"OTU_2588","Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria"
"OTU_2589","Bacteria","Actinobacteriota","Coriobacteriia","OPB41","Unclassified_OPB41","Unclassified_OPB41","Unclassified_OPB41"
