	BG1	BG13	BG7	C13_12	C13_15	C13_2	C13_5	C13_8	C14_10	C14_14	C14_2	C14_5	C15_10	C15_15	C15_2	C15_6	C16_10	C16_14	C16_2	C16_6	C17_2	C17_6	C17_9	C18_12	C18_16	C18_2	C18_4	C18_7	C19_10	C19_12	C19_2	C19_6	C20_10	C20_14	C20_2	C20_6	C21_10	C21_2	C21_4	C21_6	C22_2	C22_4	C22_6	C23_10	C23_2	C23_4	C23_6	C24_10	C24_14	C24_2	C24_4	C24_6	C25_0	C25_10	C25_15	C25_2	C25_6	C26_0	C26_10	C26_15	C26_2	C26_6	C27_10	C27_13	C27_2	C27_6	C28_10	C28_15	C28_2	C28_6	MAT1	MAT2	SG1	SG13	SG7	SSW	TZ1	TZ13	TZ7	TZF	WM1	WM11	WM13	WM3	WM5	WM7	WM9	WMF	blank
OTU_36	100	3	27	24	39	131	64	25	155	441	23	35	105	52	44	18	0	0	44	0	144	73	72	48	11	278	172	106	0	0	23	2	39	1	285	77	0	51	11	2	37	0	0	8	42	7	0	6	0	216	145	294	276	42	7	274	119	28	0	0	0	0	0	0	0	0	0	0	4	0	3	0	298	9	30	3	153	49	3	11	4	0	1	0	1	1	0	10	0
OTU_37	72	9	17	0	0	0	0	0	0	0	2	0	0	0	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	13	0	0	7	0	2	0	0	0	0	2	0	1	0	1	1	3	2	3	0	0	126	25	42	9	24	15	0	0	15	14	17	4950	25	34	73	2313	14	0	8	4	0	26	0	2606	0
OTU_38	47	17	24	0	0	10	3	1	15	37	1	0	9	3	1	2	0	2	297	0	7	4	4	3	3	9	24	29	1	0	244	1	51	1	109	104	0	281	451	2	618	2	0	178	505	262	1	3	0	153	197	165	27	0	0	6	3	30	0	0	1	0	0	0	0	0	0	0	0	0	2	0	417	30	82	3	2061	1498	269	89	6	1	1	867	17	5	0	78	0
OTU_39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2245	274	0	833	1	0	1	0	7	0	3	0	480	113	0	289	10	792	1	0	975	1	31	449	9	318	0	4	0	94	229	110	1555	2	2	3	1	119	178	11	108	19	300	332	57	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
OTU_40	382	58	132	1	1	50	21	6	4	69	1	4	34	14	1	4	0	2	53	0	43	15	22	18	6	31	67	31	0	0	12	0	30	1	226	97	0	53	54	0	7	0	0	15	52	5	0	11	0	104	130	192	41	1	1	94	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	1019	35	154	7	1356	318	22	160	9	0	3	46	1	16	1	213	0
OTU_41	29	4	7	4	5	82	45	9	182	939	4	11	97	30	11	5	0	1	78	0	72	44	42	42	20	368	397	303	1	0	34	4	168	1	804	657	0	100	22	0	65	0	0	19	106	11	0	8	0	852	425	923	268	6	0	110	16	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	259	4	14	8	194	69	9	9	3	0	1	4	1	0	0	7	0
OTU_42	4	8	3	0	0	7	7	0	13	151	0	1	8	0	0	0	0	0	241	0	4	1	10	35	22	65	158	79	2	0	142	1	393	1510	312	275	0	218	559	558	481	0	0	34	263	432	56	2156	0	369	536	492	12	3	3	148	121	34	0	0	28	0	0	0	0	0	0	0	0	0	1	0	29	2	8	0	63	10	4	14	3	0	1	9	0	1	0	18	0
OTU_43	209	185	205	1	3	6	5	4	14	106	45	4	11	5	1	9	0	15	68	0	20	18	11	10	4	133	61	14	0	0	15	1	11	1	156	78	0	66	8	3	12	0	2	175	173	14	26	0	0	104	22	241	741	4	2	5	0	20	0	43	1	0	0	0	23	0	0	0	16	0	142	71	464	98	239	12	2038	1832	37	328	29	0	7	140	12	32	2	387	0
OTU_44	3674	276	1068	3	6	43	59	17	26	136	6	13	205	71	7	20	0	0	1	0	62	69	110	7	2	76	30	11	0	0	1	0	0	0	8	7	0	2	1	0	1	0	0	0	1	1	0	0	0	22	14	13	5	7	5	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1540	65	268	23	423	224	32	127	25	1	3	10	2	16	0	159	0
OTU_45	18	57	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	44	85	120	4	505	4326	91	451	5	6	7	699	257	71	8	443	0
OTU_46	0	12	0	0	0	1	0	0	3	1	0	4	2	0	0	0	0	0	2	14	0	0	1	11	26	1	1	2	0	0	0	0	11	257	0	0	0	0	39	182	8	9	0	0	1	70	35	749	978	4	32	21	23	1119	1843	1272	1344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_47	9	4	2	0	0	7	1	0	8	22	0	1	5	2	0	0	1	4	381	0	4	6	3	4	7	2	35	13	0	0	192	0	70	229	81	101	0	298	493	129	490	0	0	65	491	175	78	116	64	77	119	229	208	631	330	356	874	291	0	0	496	0	0	0	0	0	0	0	10	0	5	0	21	1	7	0	58	26	0	19	0	0	0	86	6	2	0	22	0
OTU_48	120	299	378	89	95	274	257	263	412	193	400	234	388	108	275	140	0	0	31	0	234	224	292	307	93	131	185	158	0	0	6	1	105	103	81	114	0	16	14	0	8	0	0	4	22	15	0	560	0	145	271	153	4	2	3	40	10	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	174	356	533	1	72	32	7	20	9	0	2	8	0	14	1	25	0
OTU_49	54	111	89	12	5	15	7	21	25	24	18	43	5	1	23	4	3	3	644	1	7	9	7	93	25	13	85	47	0	0	400	1	74	0	137	385	1	267	253	17	630	1	0	43	605	150	8	1	0	224	387	125	14	1	0	49	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	119	79	150	3	106	44	8	679	2	0	3	9	0	7	0	793	0
OTU_50	215	210	597	95	125	344	428	289	345	542	215	171	414	202	260	179	0	1	1	0	444	217	252	42	4	553	203	59	0	0	0	0	2	1	11	18	0	0	0	0	0	0	0	3	0	0	0	1	2	34	22	25	20	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	604	25	358	1	115	49	15	77	12	0	2	9	0	11	0	104	0
OTU_51	42	30	42	0	0	0	0	0	0	0	0	0	0	0	0	0	231	2	0	23	0	0	0	0	0	0	0	0	16	0	0	58	0	1	0	0	78	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	1	24	1	4	28	0	0	0	0	0	0	0	0	0	0	51	34	55	14	25	20	24	96	13	3	101	482	1636	4189	35	117	0
OTU_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	215	1119	2137	3628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53	2	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	19	0	9	48	7	25	1	0	0	431	5494	838	0	37	0
OTU_54	302	134	193	33	65	252	116	66	177	442	60	85	140	158	162	34	0	0	8	0	252	89	113	75	26	298	265	118	0	0	4	1	44	0	180	59	0	4	2	0	7	0	0	2	12	1	1	6	1	216	189	322	52	4	6	92	11	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	946	45	215	12	369	111	12	50	5	0	2	12	1	11	0	71	0
OTU_55	139	265	360	65	60	193	201	171	194	72	147	96	271	71	82	60	0	0	2	0	222	159	237	257	41	74	140	93	0	0	0	0	2	1	19	25	0	1	1	0	0	0	0	0	0	1	0	1	0	36	79	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	170	130	197	1	24	12	1	20	3	0	1	0	0	3	0	31	0
OTU_56	0	0	0	0	0	12	5	3	8	18	0	1	5	7	0	0	0	1	228	103	11	3	3	6	1	1	9	1	0	0	112	20	99	441	110	43	0	118	333	505	387	15	0	24	125	587	1431	586	492	91	50	69	10	151	174	84	105	36	0	0	91	242	0	0	0	0	0	0	0	0	0	0	6	1	0	0	6	0	0	4	0	0	0	0	0	1	0	2	0
OTU_57	572	203	397	104	105	227	240	162	229	135	143	100	225	84	181	102	0	0	13	0	153	142	171	153	19	136	198	108	0	0	2	0	18	0	99	71	0	18	6	0	18	0	0	0	25	9	1	15	0	239	243	158	73	54	32	145	51	1	0	0	2	0	0	0	0	0	0	0	4	0	0	0	739	126	377	9	235	76	25	72	8	0	4	15	0	8	0	74	0
