	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_3668	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	
OTU_3669	Bacteria	Planctomycetota	Phycisphaerae	CCM11a			
OTU_3670	Bacteria	Myxococcota	Myxococcia	Myxococcales			
OTU_3671	Archaea	Nanoarchaeota	Nanoarchaeia				
OTU_3672	Bacteria						
OTU_3673	Bacteria	Firmicutes	Bacilli				
OTU_3674	Bacteria	LCP-89					
OTU_3675	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_3676	Eukaryota (Chloroplast)						
OTU_3677	Bacteria	Schekmanbacteria					
OTU_3678	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	
OTU_3679	Bacteria	Planctomycetota	Planctomycetes	Pirellulales			
OTU_3680	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae		
OTU_3681	Bacteria	Planctomycetota	SPG12-343-353-B69				
OTU_3682	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae		
OTU_3683	Bacteria	Nitrospirota	Thermodesulfovibrionia				
OTU_3684	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae		
OTU_3685	Bacteria	Acidobacteriota	AT-s3-28				
OTU_3686	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41			
OTU_3687	Bacteria	Chloroflexi	Anaerolineae	Caldilineales			
OTU_3688	Bacteria	Myxococcota	Myxococcia	Myxococcales			
OTU_3689	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	
OTU_3690	Bacteria	Spirochaetota	Spirochaetia				
OTU_3691	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales			
OTU_3692	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
OTU_3693	Bacteria	Desulfobacterota	Thermodesulfobacteria				
OTU_3694	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade		
OTU_3695	Bacteria	Elusimicrobiota	Rs-M47				
OTU_3696	Bacteria	Chloroflexi	Dehalococcoidia				
OTU_3697	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales			
OTU_3698	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae		
OTU_3699	Bacteria	Planctomycetota	Phycisphaerae	CCM11a			
OTU_3700	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae		
OTU_3701	Bacteria	Desulfobacterota	Desulfobulbia				
OTU_3702	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Thermotomaculum	
OTU_3703	Archaea	Thermoplasmatota	Thermoplasmata	SG8-5			
OTU_3704	Archaea	Nanoarchaeota	Nanoarchaeia				
OTU_3705	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade		
OTU_3706	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade			
OTU_3707	Bacteria	Zixibacteria					
OTU_3708	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
OTU_3709	Eukaryota (Mitochondria)						
OTU_3710	Bacteria	Gracilibacteria phylum incertae sedis	Gracilibacteria				
OTU_3711	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales			
OTU_3712	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae		
OTU_3713	Bacteria	Latescibacterota					
OTU_3714	Bacteria	NB1-j					
OTU_3715	Bacteria	Gracilibacteria phylum incertae sedis	Gracilibacteria				
OTU_3716	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
OTU_3717	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae		
OTU_3718	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Bauldia	
OTU_3719	Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae		
OTU_3720	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	
OTU_3721	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae		
OTU_3722	Bacteria	Planctomycetota	Planctomycetes	Pirellulales			
OTU_3723	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
OTU_3724	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	
OTU_3725	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU_3726	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
OTU_3727	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae		
OTU_3728	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU_3729	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
OTU_3730	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
OTU_3731	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
OTU_3732	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	
OTU_3733	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
OTU_3734	Bacteria	Gemmatimonadota	BD2-11 terrestrial group				
OTU_3735	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae		
OTU_3736	Bacteria	SAR324 clade(Marine group B)					
OTU_3737	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Hypnocyclicus	
OTU_3738	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales			
OTU_3739	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_3740	Bacteria	Planctomycetota	Phycisphaerae	Amsterdam-1B-07			
OTU_3741	Bacteria	Planctomycetota	Pla4 lineage				
OTU_3742	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales			
OTU_3743	Bacteria	Chloroflexi	Dehalococcoidia				
OTU_3744	Bacteria	Planctomycetota	Planctomycetes	Pirellulales			
OTU_3745	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae UCG-011	
OTU_3746	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae		
OTU_3747	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales			
OTU_3748	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	
OTU_3749	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	
OTU_3750	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis	
OTU_3751	Archaea	Thermoplasmatota	Thermoplasmata				
OTU_3752	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales			
OTU_3753	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
OTU_3754	Archaea	Bathyarchaeota					
OTU_3755	Bacteria	NB1-j					
OTU_3756	Bacteria	Planctomycetota	Pla4 lineage				
OTU_3757	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
OTU_3758	Bacteria	Latescibacterota					
OTU_3759	Bacteria	Dependentiae	Babeliae	Babeliales			
OTU_3760	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41			
OTU_3761	Bacteria	Planctomycetota	Phycisphaerae	MSBL9			
OTU_3762	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
OTU_3763	Bacteria	Planctomycetota	Pla4 lineage				
OTU_3764	Archaea						
OTU_3765	Bacteria	Latescibacterota					
OTU_3766	Bacteria	Latescibacterota					
OTU_3767	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41			
OTU_3768	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae		
OTU_3769	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	ZOR0006	
OTU_3770	Bacteria	Sumerlaeota	Sumerlaeia				
OTU_3771	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Eudoraea	
OTU_3772	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_3773	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	I-8	
OTU_3774	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales			
OTU_3775	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales			
OTU_3776	Bacteria	Nitrospinota	P9X2b3D02				
OTU_3777	Bacteria	LCP-89					
OTU_3778	Bacteria	Myxococcota	bacteriap25				
OTU_3779	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41			
OTU_3780	Bacteria	Myxococcota					
OTU_3781	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae		
OTU_3782	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales			
OTU_3783	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
OTU_3784	Bacteria	Chloroflexi	Dehalococcoidia	H3.93			
OTU_3785	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	MSBL7	
OTU_3786	Archaea	Thermoplasmatota	Thermoplasmata				
OTU_3787	Bacteria	Planctomycetota	Phycisphaerae	Pla1 lineage			
OTU_3788	Bacteria	Chloroflexi	Dehalococcoidia	t0.6.f			
OTU_3789	Bacteria	Planctomycetota	Phycisphaerae	CCM11a			
OTU_3790	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales			
OTU_3791	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales			
OTU_3793	Archaea	Nanoarchaeota	Nanoarchaeia				
OTU_3794	Archaea	Thermoplasmatota					
OTU_3795	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae		
OTU_3796	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41			
OTU_3797	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales			
OTU_3798	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	
OTU_3799	Bacteria	Planctomycetota	OM190				
OTU_3800	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	
OTU_3801	Bacteria	Acidobacteriota	AT-s3-28				
OTU_3802	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae		
OTU_3803	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
OTU_3804	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
OTU_3805	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae		
